Rep,Ensemble-NLL,Ensemble-MSE,Sigma-NLL,Sigma-MSE,HydraNet-NLL,HydraNet-MSE,HydraNet-Sigma-NLL,HydraNet-Sigma-MSE
0,1.6818591651472758,12.482354682390616,13.113066572043733,3.2636836216257823,20.225656323025774,17.18745426955048,1.6355693276570442,10.79904911862606
1,1.487848216019314,2.86090613589128,1.8949415802076732,3.798768750836588,16.087171245997702,15.086974664912793,1.669678042295555,0.9317409074813893
2,1.7895208450328028,1.479060036820715,1.8757855282923352,12.664719554416477,14.552645284827951,8.540671407796147,1.5973838385668977,0.940262084177595
3,1.0607732430226726,0.8488555347708635,2.921491588057515,42.864916587830166,16.512027015708767,7.8418209857008705,1.515801520405818,8.000577947899357
4,2.3866760216178577,5.259294785939345,2.727395397069789,24.8148457512744,11.444959511815235,4.088379774892927,1.6082517749666658,4.885575327373044
5,1.363293784603399,1.5895265527228983,2.0771097069060827,11.66516479355904,25.2027969707958,24.53214556556494,1.5964768089457686,7.768019685284083
6,1.6445277292635265,3.4443767178990394,1.929750939051676,2.379279303439948,15.360575115983229,7.9037353592928845,1.7821592006909606,13.247456208531725
7,1.3866244631160305,3.687106653998019,3.039879529854284,14.907127135540462,7.493247929504165,7.671246158892028,1.6247587625793214,2.64918083585394
8,1.5210579195191323,1.6197072815742146,2.6695338504230137,12.455369444533599,11.815217133120289,12.546930982141104,1.737924955397442,1.594926346971569
9,1.3882420052533764,4.001805169073346,1.7442453420454536,2.113674363519178,10.353209130340366,5.353581761945463,1.6414291965924073,4.032948348769737
10,1.5174274904759135,1.278200533796096,2.7342014673842505,35.794519965106666,11.846240453864857,7.38912329316416,1.4899297017228905,4.242643207275421
11,1.8285733100362724,21.991094166854765,2.687191820530153,29.88358791465017,9.199967716590402,9.367431747585634,1.6359721573778938,1.324403020324206
12,1.6383050013182452,2.159314255899753,1.870415216828262,9.460037388298817,6.58301276699673,6.90552128020141,2.038679274430765,9.368607713850595
13,2.3015275350727746,1.9854467136630705,2.7958571394560217,14.256122863852456,6.602941500779739,5.942761137067549,1.6406773930172711,1.1126355566629265
14,1.6894638993552669,4.709167387594441,1.9570295706706486,10.479918897676196,53.41077125000052,29.613660708105456,1.7037182663185828,4.36195577934195
15,1.7329991100859417,3.7944330594671345,3.0589932923201233,6.781887242521886,5.411443962894431,4.136939101444766,1.561193684405392,0.7638757286937542
16,1.4604309409686573,9.510975959048942,2.446755877947743,27.039485011161656,20.579004537989785,7.410193477611423,inf,2.9336860696129303
17,1.3838829255458733,2.374882901524152,2.6165649650296157,35.41997299476008,16.93102357892514,4.173172270651409,1.5567399093104644,2.068728163668776
18,1.3148322867410278,2.0024452133784747,2.9678664285155203,15.880978325793334,34.33234155024098,9.240915325123133,1.6877695761068632,8.36532539134767
19,2.3407075551060896,1.7358454081877586,3.181435571517312,17.231357514643413,20.987354131279353,10.8544592299163,1.524547186103218,3.579408665985355
20,1.6986146997227933,2.5737094011966724,2.0497884016109014,2.25579773333183,13.708518089550182,12.111991967717188,1.560217968372256,2.5577050474946974
21,1.2681886807107425,1.7877016058732085,4.400305893787679,30.688556624814563,21.317152468503604,8.911304764887248,1.368547064585078,1.2037418554977837
22,1.7120433140991123,1.9557964618266093,3.431661713511699,9.397977410288775,8.590730152444053,14.85449312441958,inf,8.282349874135384
23,1.6862940612321575,7.169662829220564,2.462856277872433,14.778105993733334,40.99888482418085,32.751323908901256,inf,29.976938260503836
24,1.251232073091106,1.58361275151088,2.886599466628424,6.380083545332614,24.799275797348304,9.311760517830134,1.6519136688226643,1.0705035440272501
25,1.5301236845509822,1.990083392612116,2.8518233839203813,2.9654687816385876,7.053288560641391,4.987670621859394,1.4824209159206794,4.234365075705053
26,1.352833812068649,2.451732692450591,3.868910092255439,46.30846723177524,30.712745013479733,11.953684558068117,1.8222482627310095,10.880399265103375
27,1.6294763531053922,1.8794688292177932,2.030048049954122,4.578847541319211,33.38447813691249,8.85359956310336,1.5457437490704877,0.9676450056438247
28,1.3473952310031836,1.7719548843500024,2.277140048513944,28.487438295345942,8.150393301581069,2.149312959004115,1.9452995978997827,13.673274341137528
29,1.6410850720547336,3.819271869826187,3.189395100385087,13.098756210855615,57.27552911341426,8.129940189930277,1.6887554778369844,8.010950190803724
30,1.469845360320426,1.9738784838768546,2.6077437197578393,21.73424645714087,24.498789480818164,8.244251854280932,1.488357060390399,1.6974867506982372
31,1.7811937963192384,9.133583529060449,2.628917281207393,11.683287055854228,9.179364850853556,20.852803141360937,1.8202826737366298,10.24474024613027
32,1.9100050318747008,6.963409645069405,2.990314202591165,16.207927798954465,10.674484359935914,18.354917171360857,1.9142876313282202,10.0797270622612
33,1.6172597530007946,9.108380735306676,2.916965445740321,1.1187706266074953,15.07333357465882,21.235388849113807,1.8291840064326363,6.153263628848042
34,1.5383248192347136,1.870543719128581,2.062399449104252,10.15386687020218,9.901712061575715,10.768568501934356,1.7101650733414357,2.3434546216107908
35,2.6732687006653286,1.4355591976669357,2.7582656433335058,42.8049006155285,6.535460123787923,12.16054959327141,1.7211021468246404,0.9786636162417512
36,1.6477697776224998,2.6923320219711853,2.4531596213237457,25.867704252935454,8.542361515905203,4.251747576142817,1.637953554069661,5.215181980098956
37,1.7149873327069838,2.1137436409332033,1.9844157099885396,17.14427261693385,10.096030885531803,12.433985985179794,1.61821357653579,1.8627800185726924
38,1.6809593914767391,5.020083219803248,3.2386100605236163,24.19506033758114,12.081488136746602,29.18032700692027,1.4045407404640255,1.0548459598699251
39,1.6391228863566323,4.82237229383209,2.223131354171652,21.21296296578118,8.167034810615124,6.99837243551014,1.4510051195129174,1.7791203266717996
40,1.3861431040428795,2.402098600520716,2.1090348081360615,12.819441590190563,8.657324054495671,3.6694401472047726,1.5246778594395791,0.878212028225482
41,2.05198134191898,4.119032526428865,2.062938405492142,3.4072311521376992,49.2512150775621,14.525421653847722,1.5753163887884265,6.774457694934528
42,2.457841668366847,2.7191658265383274,2.8170208424287337,14.521826581693057,24.5964390240735,10.671385418845757,2.097564212984735,16.944665240741493
43,1.637207550009025,3.9524975437540273,2.5020085237897454,22.05691373433873,11.957480017098094,10.922900239788559,inf,6.211349707627217
44,2.004805089033967,4.93906139192841,2.0335643947208797,7.746801461959097,30.830358540155558,18.79511693247206,1.6876088248659917,5.694241268392886
45,1.3616867792677425,3.993100289508879,3.0175119799407946,28.737353055411816,24.505523188578586,14.946875756234393,1.5554488487535048,5.068666455741441
46,1.2397303040923184,1.283467489162691,2.028764432675841,4.329382675948214,69.03298716238956,11.704061251789083,1.6306151870839742,1.3735334358838511
47,1.5676174380857344,5.726203271769464,2.480940167374652,5.979155786035957,11.236806469709945,9.251221532825328,1.7083170545350685,0.7954186962250707
48,1.7865908854294863,2.1314251178199255,1.5322286383050996,1.2250363076646362,21.5626856770746,8.181636054973817,1.6118870167915114,5.40674423379288
49,1.998444618492572,1.5646276452361318,4.037805087149664,17.774490424918962,17.640201110885492,4.578753954158424,1.5640353304459982,5.364986310954177
50,1.2075975060161535,0.9650379698916172,4.250317274384276,8.603114665564942,14.354935394235238,13.496742535240012,1.5934464315151324,5.688334854409658
51,1.382519309358577,5.336318562740292,1.9792904285662627,4.5068478765924205,9.655287844516021,3.513540049009913,1.529484134489245,1.1999558110907333
52,1.4767075797468143,1.667859017502669,1.7589217087473212,2.4074137181567257,7.226269793600271,3.7438409847122647,1.4941674690585418,3.9520322029503445
53,1.2985109496138967,2.066909762881991,2.2509007663233938,6.751254268419403,12.124725749468517,13.78637543831618,1.5891954565837658,0.8310873806740682
54,1.6084570469912223,1.4629948116859703,1.9347481549372763,1.4070620412221144,15.891988151796403,4.709172367846126,1.6504162698939024,3.6395800117602075
55,1.3312080428725641,2.310464650240144,3.261636289118723,14.959855027043766,11.443735536275483,7.883542779298888,1.8076866649764813,2.0953867642305504
56,1.2412265593296694,1.7830691544718649,5.063595052562338,5.80822216062891,8.49584189156817,7.470394213217305,1.6418971249509642,2.63391967133289
57,2.038430637063112,3.947614443830265,1.7661179113816388,2.5597469484720885,6.74966626208514,5.474031056466738,1.3828184151590122,4.896089581269409
58,1.8307814665340965,11.895451453652946,4.1118348989042905,9.839560874464638,40.680955653746814,16.92183818743688,1.6909110472424889,4.992231069992072
59,1.6300360623038204,2.182345268332231,2.6974334181837327,33.56623694727632,29.30082418982892,14.65879809781249,1.6789476243475485,1.1803661974649082
60,1.5558537570832092,9.918336349543452,2.042630019669986,14.609502686917882,7.474691540833851,18.072406792580946,1.8500069161375277,1.6843787134724608
61,1.6820778664941316,1.7966432617720969,2.1429664827925894,3.4610003979953334,14.525627877295273,5.818420862681531,1.714101356641673,6.0801076301206
62,1.3145632161059695,1.6453129424544022,3.0041599346565566,2.617769096767309,13.451482875261695,4.757884623504057,1.764945578233383,11.19296372208064
63,1.4427918479456958,1.9300767923267312,2.2956740667008835,0.9373316206657211,29.93721973181995,12.925281760468554,1.5461375097961076,0.8616910132493261
64,1.479725311887032,1.2655405008957399,3.6997556867146897,19.578447755757352,15.522526443640773,13.329262622531237,1.5392401733658836,4.090480230533484
65,1.7850963186331301,2.09515749211005,3.321278196777919,24.056309581103427,8.055946097841355,13.72702646843332,1.5792775281299356,2.0791308897662573
66,1.5358033592150926,10.885989847927371,13.66256570829725,1.7947702442047617,8.929837211051375,6.200536740464254,1.6382825652795352,5.647332435443315
67,1.3665507822466352,1.5672083141849293,2.5754094821733178,21.43821309298807,8.742169756960156,8.094588203632528,1.3886267065441058,0.7547481511285745
68,1.3827258198183403,1.7571530114421234,4.1402738496015665,2.0077735959661056,31.609963792314247,16.127289033985697,1.6185445111649037,4.541342912891183
69,1.218360062119913,1.3964354410168385,2.886498581268242,10.013082239678022,9.882276524263649,7.234612822898668,1.724644510761344,3.9506085994371016
70,2.0012298225122658,3.0193137807995702,3.8172815171771077,14.159789246818372,22.581372442074226,10.623898736852938,1.8791039129219334,2.2413001488757387
71,1.4084540184222585,0.8855902019383279,4.094348164267742,14.83693385692122,8.272667857362425,3.7978088480957672,1.6817573628343707,11.635161207903217
72,1.3526101571891065,1.6534235291946189,2.2470943512779495,24.76080241342589,11.58891353735196,5.589822539521346,1.4934189933479558,2.9929745587143284
73,1.7519249292807513,6.729585418331409,2.3505420950503897,8.619760649368843,7.420624487462386,8.221996306645174,1.6731676079440978,6.700054668461946
74,1.296362525871167,1.5220617895218924,2.4704129614283326,3.8008813566221518,9.880013327729882,3.5036984532958333,1.546313258914514,1.1570768831943377
75,1.4643841750468278,2.431222404506659,1.8726303199827163,6.509560077843888,23.580429443950038,25.70469042308131,1.8540943360717987,19.651984468269372
76,1.6539490019234142,3.064332184449508,2.1798114079730193,14.607873996385388,6.2301945612885,24.51841329781826,1.8486215817845209,8.828108622613899
77,1.5230517629946223,1.1713291822171104,3.9502280926313595,8.103592349387931,8.382167584486615,7.227259591406477,1.7613044727696792,11.373869662389625
78,2.687715036776221,1.6820828780364767,3.6486913761433,28.111707475508698,17.16514150673235,8.528924860383505,1.5042244825539695,5.674420705244662
79,1.4978015061398002,3.1243273494488846,4.088798122373732,23.99023621277421,11.136797766084637,20.547821898020665,1.6918492726044536,3.3826585315853226
80,1.5901029279430272,6.667115325478233,1.6345766425637789,5.114517087269583,7.192639756360949,9.724121687659105,1.835391317922619,19.396724312513783
81,1.538981241118275,2.26138648016285,2.2555036397784245,17.675488777762165,71.18115956343937,14.908316932636648,1.8842940818814946,10.440897398298256
82,2.008671106336006,4.288568016955905,3.409796475242577,27.056767583378555,39.784231518165896,10.355117071681613,1.8134245526893713,3.9237481952357562
83,1.7423876780874634,5.658615785068138,1.7396362189473018,5.00358260554924,17.669692166381328,9.630991476958272,1.5721993551830042,1.099605757842753
84,1.3369835616572305,2.989610778442069,3.996363555548655,2.2986514331629446,22.020788536096394,16.113812265354913,1.7958457420348883,7.118177626560582
85,1.5352752523773274,4.789693562126954,2.581733141430715,36.38162365948076,35.28720299236261,15.157352973810841,1.5702602211232448,1.1286613481176078
86,1.5083491732310785,7.551020053876901,2.598348354403011,7.693349277053655,28.75298605840585,11.934275189099807,1.6593197072023704,9.398554617684786
87,1.3352289061828864,1.5193268071689383,2.3114311797163065,22.84730190686453,6.048892566634951,12.119586112379732,1.5940926666654824,2.7066991191186145
88,1.661759341636904,8.852395337669584,1.699060027825843,1.730657799957322,41.19687143091412,17.661528186027546,1.7031506210186118,5.472010892350826
89,1.4582152761509832,1.8048952574776573,1.7389431968311666,2.142677005680639,23.314328690315637,7.004682368137421,1.5859474933817648,3.834143337841364
90,1.3279667608460495,2.326160005851438,1.6979014763817963,2.9553970990990233,13.947765344656643,12.096332544297148,1.619491499552544,7.290213594348307
91,1.8822136757731949,29.958977413409098,3.606828868742449,6.693444491280389,5.899080707996243,17.540919433006625,1.679911716152226,12.669025927669889
92,1.673747773611879,2.9506150786149203,3.387595390862165,10.765110381306311,16.088693480491948,7.505473585078506,1.6577959423817745,5.931091774998217
93,1.3343667182660153,1.3297843532133928,1.8589917912048577,5.077278923446672,13.907843237714928,8.083537082880582,1.6044765935112775,3.396938655934232
94,1.3832770785389,3.4057528585073475,2.1509780635799176,17.11733331781914,102.89037489281455,10.48733544651365,1.4597341697984247,3.3571814998394824
95,1.5297071786928311,5.95061678684418,3.289268177941734,42.003466207686245,7.418955556542698,7.435348813232714,inf,7.767546199854503
96,1.4695622590638595,1.5184335173920698,2.0345315899376657,13.693653223460801,74.91522648435112,11.138392790365433,1.8398487970825383,8.801420814863
97,1.2920114309205077,1.6712225074573013,2.7989353028934043,10.149595219035488,8.715796113817888,6.9275263497198285,1.619773009548394,1.1441612931404614
98,1.2544536480718869,1.7872592832134766,2.0917383493799346,5.22963879441574,31.575386665403357,8.402710933758994,1.5881602343113226,2.2758811008791087
99,1.513255224399531,1.6679730059736197,3.0268523439591286,37.20714494968051,38.79256929389266,17.473239841784185,1.6214380349313888,7.803714000639913
